chargeDescription,codeUcr,count,comb,category
ROBBERY: SECOND DEGREE,3BB,1,ROBBERY: SECOND DEGREE - 3BB,1
ROBBERY:SECOND DEGREE,3BB,2,ROBBERY:SECOND DEGREE - 3BB,1
ROBBERY (F),3BC,7,ROBBERY (F) - 3BC,1
ROBBERY: SECOND DEGREE,3BC,2,ROBBERY: SECOND DEGREE - 3BC,1
ROBBERY,3BD,1,ROBBERY - 3BD,1
ROBBERY (F),3BD,26,ROBBERY (F) - 3BD,1
ROBBERY:SECOND DEGREE,3BD,1,ROBBERY:SECOND DEGREE - 3BD,1
CARJACKING,3BE,1,CARJACKING - 3BE,1
CARJACKING (F),3BE,2,CARJACKING (F) - 3BE,1
ROBBERY,3BE,3,ROBBERY - 3BE,1
ROBBERY (F),3BE,16,ROBBERY (F) - 3BE,1
ROBBERY (F),3BF,2,ROBBERY (F) - 3BF,1
ATTEMPTED ROBBERY,3BG,2,ATTEMPTED ROBBERY - 3BG,1
ROBBERY,3BG,7,ROBBERY - 3BG,1
ROBBERY (F),3BG,21,ROBBERY (F) - 3BG,1
ROBBERY: FIRST DEGREE,3BG,1,ROBBERY: FIRST DEGREE - 3BG,1
ROBBERY: SECOND DEGREE,3BG,3,ROBBERY: SECOND DEGREE - 3BG,1
ATTEMPTED ROBBERY,3CA,6,ATTEMPTED ROBBERY - 3CA,1
ATTEMPTED ROBBERY: FIRST DEGREE,3CA,1,ATTEMPTED ROBBERY: FIRST DEGREE - 3CA,1
CARJACKING,3CA,2,CARJACKING - 3CA,1
CARJACKING (F),3CA,35,CARJACKING (F) - 3CA,1
ROBBERY,3CA,21,ROBBERY - 3CA,1
ROBBERY (F),3CA,210,ROBBERY (F) - 3CA,1
ROBBERY: FIRST DEGREE,3CA,2,ROBBERY: FIRST DEGREE - 3CA,1
ROBBERY: FIRST DEGREE AT AUTOMATED TELLER MACHINE/ETC,3CA,1,ROBBERY: FIRST DEGREE AT AUTOMATED TELLER MACHINE/ETC - 3CA,1
ROBBERY: SECOND DEGREE,3CA,6,ROBBERY: SECOND DEGREE - 3CA,1
ROBBERY:SECOND DEGREE,3CA,4,ROBBERY:SECOND DEGREE - 3CA,1
ATTEMPTED ROBBERY,3CB,1,ATTEMPTED ROBBERY - 3CB,1
CARJACKING (F),3CB,1,CARJACKING (F) - 3CB,1
ROBBERY,3CB,6,ROBBERY - 3CB,1
ROBBERY (F),3CB,137,ROBBERY (F) - 3CB,1
ROBBERY: SECOND DEGREE,3CB,4,ROBBERY: SECOND DEGREE - 3CB,1
ROBBERY:SECOND DEGREE,3CB,6,ROBBERY:SECOND DEGREE - 3CB,1
ROBBERY (F),3CC,18,ROBBERY (F) - 3CC,1
ATTEMPTED ROBBERY: FIRST DEGREE,3CD,1,ATTEMPTED ROBBERY: FIRST DEGREE - 3CD,1
ROBBERY (F),3CD,50,ROBBERY (F) - 3CD,1
ROBBERY: SECOND DEGREE,3CD,1,ROBBERY: SECOND DEGREE - 3CD,1
ROBBERY:FIRST DEGREE:CAB/ETC/INHABITED DWELLING,3CD,1,ROBBERY:FIRST DEGREE:CAB/ETC/INHABITED DWELLING - 3CD,1
CARJACKING (F),3CE,2,CARJACKING (F) - 3CE,1
ROBBERY,3CE,3,ROBBERY - 3CE,1
ROBBERY (F),3CE,26,ROBBERY (F) - 3CE,1
ATTEMPTED ROBBERY,3CF,1,ATTEMPTED ROBBERY - 3CF,1
ROBBERY,3CF,1,ROBBERY - 3CF,1
ROBBERY (F),3CF,14,ROBBERY (F) - 3CF,1
CARJACKING (F),3CG,1,CARJACKING (F) - 3CG,1
ROBBERY,3CG,2,ROBBERY - 3CG,1
ROBBERY (F),3CG,37,ROBBERY (F) - 3CG,1
ROBBERY:FIRST DEGREE:CAB/ETC/INHABITED DWELLING,3CG,1,ROBBERY:FIRST DEGREE:CAB/ETC/INHABITED DWELLING - 3CG,1
ROBBERY:SECOND DEGREE,3CG,4,ROBBERY:SECOND DEGREE - 3CG,1
ATTEMPTED ROBBERY,3DA,15,ATTEMPTED ROBBERY - 3DA,1
ATTEMPTED ROBBERY: FIRST DEGREE,3DA,1,ATTEMPTED ROBBERY: FIRST DEGREE - 3DA,1
CARJACKING,3DA,4,CARJACKING - 3DA,1
CARJACKING (F),3DA,48,CARJACKING (F) - 3DA,1
ROBBERY,3DA,136,ROBBERY - 3DA,1
ROBBERY (F),3DA,515,ROBBERY (F) - 3DA,1
ROBBERY: FIRST DEGREE,3DA,9,ROBBERY: FIRST DEGREE - 3DA,1
ROBBERY: SECOND DEGREE,3DA,15,ROBBERY: SECOND DEGREE - 3DA,1
ROBBERY:FIRST DEGREE:CAB/ETC/INHABITED DWELLING,3DA,2,ROBBERY:FIRST DEGREE:CAB/ETC/INHABITED DWELLING - 3DA,1
ROBBERY:SECOND DEGREE,3DA,8,ROBBERY:SECOND DEGREE - 3DA,1
ATTEMPTED ROBBERY,3DB,7,ATTEMPTED ROBBERY - 3DB,1
ATTEMPTED ROBBERY: FIRST DEGREE,3DB,1,ATTEMPTED ROBBERY: FIRST DEGREE - 3DB,1
CARJACKING (F),3DB,2,CARJACKING (F) - 3DB,1
ROBBERY,3DB,36,ROBBERY - 3DB,1
ROBBERY (F),3DB,336,ROBBERY (F) - 3DB,1
ROBBERY: FIRST DEGREE,3DB,10,ROBBERY: FIRST DEGREE - 3DB,1
ROBBERY: SECOND DEGREE,3DB,11,ROBBERY: SECOND DEGREE - 3DB,1
ROBBERY:FIRST DEGREE:CAB/ETC/INHABITED DWELLING,3DB,1,ROBBERY:FIRST DEGREE:CAB/ETC/INHABITED DWELLING - 3DB,1
ROBBERY:SECOND DEGREE,3DB,9,ROBBERY:SECOND DEGREE - 3DB,1
ATTEMPTED ROBBERY,3DC,1,ATTEMPTED ROBBERY - 3DC,1
ROBBERY,3DC,8,ROBBERY - 3DC,1
ROBBERY (F),3DC,15,ROBBERY (F) - 3DC,1
ROBBERY: FIRST DEGREE,3DC,1,ROBBERY: FIRST DEGREE - 3DC,1
ROBBERY: SECOND DEGREE,3DC,2,ROBBERY: SECOND DEGREE - 3DC,1
ROBBERY:SECOND DEGREE,3DC,1,ROBBERY:SECOND DEGREE - 3DC,1
CARJACKING (F),3DD,1,CARJACKING (F) - 3DD,1
ROBBERY,3DD,3,ROBBERY - 3DD,1
ROBBERY (F),3DD,104,ROBBERY (F) - 3DD,1
ROBBERY: FIRST DEGREE,3DD,1,ROBBERY: FIRST DEGREE - 3DD,1
ROBBERY: SECOND DEGREE,3DD,1,ROBBERY: SECOND DEGREE - 3DD,1
ROBBERY:FIRST DEGREE:CAB/ETC/INHABITED DWELLING,3DD,2,ROBBERY:FIRST DEGREE:CAB/ETC/INHABITED DWELLING - 3DD,1
ROBBERY:SECOND DEGREE,3DD,2,ROBBERY:SECOND DEGREE - 3DD,1
ATTEMPTED BURGLARY:DEGREE UNSPECIFIED,3DE,1,ATTEMPTED BURGLARY:DEGREE UNSPECIFIED - 3DE,1
ATTEMPTED ROBBERY,3DE,1,ATTEMPTED ROBBERY - 3DE,1
CARJACKING,3DE,2,CARJACKING - 3DE,1
CARJACKING (F),3DE,1,CARJACKING (F) - 3DE,1
ROBBERY,3DE,13,ROBBERY - 3DE,1
ROBBERY (F),3DE,78,ROBBERY (F) - 3DE,1
ROBBERY: FIRST DEGREE,3DE,1,ROBBERY: FIRST DEGREE - 3DE,1
ROBBERY: SECOND DEGREE,3DE,2,ROBBERY: SECOND DEGREE - 3DE,1
ROBBERY:FIRST DEGREE:CAB/ETC/INHABITED DWELLING,3DE,1,ROBBERY:FIRST DEGREE:CAB/ETC/INHABITED DWELLING - 3DE,1
ROBBERY:SECOND DEGREE,3DE,1,ROBBERY:SECOND DEGREE - 3DE,1
ATTEMPTED ROBBERY,3DF,1,ATTEMPTED ROBBERY - 3DF,1
ROBBERY,3DF,5,ROBBERY - 3DF,1
ROBBERY (F),3DF,11,ROBBERY (F) - 3DF,1
ATTEMPTED ROBBERY,3DG,4,ATTEMPTED ROBBERY - 3DG,1
CARJACKING,3DG,3,CARJACKING - 3DG,1
CARJACKING (F),3DG,3,CARJACKING (F) - 3DG,1
ROBBERY,3DG,38,ROBBERY - 3DG,1
ROBBERY (F),3DG,131,ROBBERY (F) - 3DG,1
ROBBERY: FIRST DEGREE,3DG,4,ROBBERY: FIRST DEGREE - 3DG,1
ROBBERY: SECOND DEGREE,3DG,12,ROBBERY: SECOND DEGREE - 3DG,1
ROBBERY:SECOND DEGREE,3DG,5,ROBBERY:SECOND DEGREE - 3DG,1
ADW WITH FORCE:POSSIBLE GBI (F),4A0,7,ADW WITH FORCE:POSSIBLE GBI (F) - 4A0,1
ADW:ASSAULT WITH FIREARM ON PERS (F),4A0,350,ADW:ASSAULT WITH FIREARM ON PERS (F) - 4A0,1
ADW:ASSAULT:SEMIAUTO:PEACE OFCR/FIREFIGHTER (F),4A0,1,ADW:ASSAULT:SEMIAUTO:PEACE OFCR/FIREFIGHTER (F) - 4A0,1
ASSAULT ON PEACE OFFICER/FIREMAN W/SEMIAUTOMATIC RIFLE,4A0,1,ASSAULT ON PEACE OFFICER/FIREMAN W/SEMIAUTOMATIC RIFLE - 4A0,1
ASSAULT PERSON WITH A SEMIAUTOMATIC FIREARM (F),4A0,8,ASSAULT PERSON WITH A SEMIAUTOMATIC FIREARM (F) - 4A0,1
ASSAULT W/DEADLY WEAPON OTHER THAN FIREARM OR GBI FORCE,4A0,6,ASSAULT W/DEADLY WEAPON OTHER THAN FIREARM OR GBI FORCE - 4A0,1
ASSAULT W/DEADLY WEAPON:NOT F/ARM (F),4A0,27,ASSAULT W/DEADLY WEAPON:NOT F/ARM (F) - 4A0,1
ASSAULT W/DEADLY WEAPON:NOT F/ARM (M),4A0,8,ASSAULT W/DEADLY WEAPON:NOT F/ARM (M) - 4A0,1
ASSAULT W/FIREARM ON PEACE OFFICER/FIREFIGHTER (F),4A0,2,ASSAULT W/FIREARM ON PEACE OFFICER/FIREFIGHTER (F) - 4A0,1
ASSAULT WITH A DEADLY WEAPON OR BY FORCE,4A0,3,ASSAULT WITH A DEADLY WEAPON OR BY FORCE - 4A0,1
ASSAULT WITH DEADLY WEAPON WITH GUN,4A0,43,ASSAULT WITH DEADLY WEAPON WITH GUN - 4A0,1
ASSAULT WITH DEADLY WEAPON. MACHINE GUN OR ASSAULT WEAPON,4A0,1,ASSAULT WITH DEADLY WEAPON. MACHINE GUN OR ASSAULT WEAPON - 4A0,1
ATTEMPTED MURDER (F),4A0,47,ATTEMPTED MURDER (F) - 4A0,1
ATTEMPTED MURDER/DEGREE UNSPECIFIED,4A0,6,ATTEMPTED MURDER/DEGREE UNSPECIFIED - 4A0,1
BATTERY ON PERSON,4A0,1,BATTERY ON PERSON - 4A0,1
BATTERY W/SER BODILY INJURY (F),4A0,2,BATTERY W/SER BODILY INJURY (F) - 4A0,1
EXHIBIT DEADLY WEAPON OTHER THAN FIREARM (M),4A0,11,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM (M) - 4A0,1
EXHIBIT DEADLY WEAPON/FIREARM,4A0,15,EXHIBIT DEADLY WEAPON/FIREARM - 4A0,1
EXHIBIT FIREARM,4A0,10,EXHIBIT FIREARM - 4A0,1
EXHIBIT FIREARM (M),4A0,255,EXHIBIT FIREARM (M) - 4A0,1
EXHIBIT FIREARM IN PRESENCE OF PEACE OFCR (F),4A0,1,EXHIBIT FIREARM IN PRESENCE OF PEACE OFCR (F) - 4A0,1
EXHIBIT FIREARM IN PRESENCE OF PEACE OFFICER,4A0,1,EXHIBIT FIREARM IN PRESENCE OF PEACE OFFICER - 4A0,1
EXHIBIT/DISPLAY FIREARM PRESENCE RES. P.O.,4A0,1,EXHIBIT/DISPLAY FIREARM PRESENCE RES. P.O. - 4A0,1
EXHIBIT/DRAW FIREARM IN PRES OF Mot Veh OCCUP (F),4A0,9,EXHIBIT/DRAW FIREARM IN PRES OF Mot Veh OCCUP (F) - 4A0,1
MAYHEM (F),4A0,1,MAYHEM (F) - 4A0,1
SHOOT AT INHABITED DWELLING/VEH (F),4A0,179,SHOOT AT INHABITED DWELLING/VEH (F) - 4A0,1
SHOOT AT INHABITED DWELLING/VEHICLE/ETC,4A0,17,SHOOT AT INHABITED DWELLING/VEHICLE/ETC - 4A0,1
SPOUSAL/COHABITANT ABUSE WITH SERIOUS INJURY (F),4A0,6,SPOUSAL/COHABITANT ABUSE WITH SERIOUS INJURY (F) - 4A0,1
TERRORIST THREATS THAT THREATEN FAMILY,4A0,5,TERRORIST THREATS THAT THREATEN FAMILY - 4A0,1
THREATEN CRIME WITH INTENT TO TERRORIZE,4A0,10,THREATEN CRIME WITH INTENT TO TERRORIZE - 4A0,1
THROW SUBS AT VEH ON HWY W/GBI INTENT (F),4A0,1,THROW SUBS AT VEH ON HWY W/GBI INTENT (F) - 4A0,1
VIOLATE CIVIL RIGHTS:CAUSE VIOLENT INJ (FELONY) (F),4A0,1,VIOLATE CIVIL RIGHTS:CAUSE VIOLENT INJ (FELONY) (F) - 4A0,1
WILLFUL CRUELTY TO CHILD: WITH INJURY/DEATH (F),4A0,4,WILLFUL CRUELTY TO CHILD: WITH INJURY/DEATH (F) - 4A0,1
ADW NOT A FIREARM ON P.O./FIREFIGHTER:GBI LIKELY (F),4B0,2,ADW NOT A FIREARM ON P.O./FIREFIGHTER:GBI LIKELY (F) - 4B0,1
ADW WITH FORCE:POSSIBLE GBI (F),4B0,17,ADW WITH FORCE:POSSIBLE GBI (F) - 4B0,1
ADW WITH FORCE:POSSIBLE GBI (M),4B0,5,ADW WITH FORCE:POSSIBLE GBI (M) - 4B0,1
AGGRAVATED MAYHEM (F),4B0,1,AGGRAVATED MAYHEM (F) - 4B0,1
ASSAULT W/DEADLY WEAPON OTHER THAN FIREARM OR GBI FORCE,4B0,104,ASSAULT W/DEADLY WEAPON OTHER THAN FIREARM OR GBI FORCE - 4B0,1
ASSAULT W/DEADLY WEAPON:NOT F/ARM (F),4B0,613,ASSAULT W/DEADLY WEAPON:NOT F/ARM (F) - 4B0,1
ASSAULT W/DEADLY WEAPON:NOT F/ARM (M),4B0,190,ASSAULT W/DEADLY WEAPON:NOT F/ARM (M) - 4B0,1
ASSAULT W/INTENT TO COMMIT FELONY (W/INJ OR WEAPON) (F),4B0,2,ASSAULT W/INTENT TO COMMIT FELONY (W/INJ OR WEAPON) (F) - 4B0,1
ASSAULT WITH A DEADLY WEAPON OR BY FORCE,4B0,1,ASSAULT WITH A DEADLY WEAPON OR BY FORCE - 4B0,1
ATTEMPTED MURDER (F),4B0,37,ATTEMPTED MURDER (F) - 4B0,1
ATTEMPTED MURDER/DEGREE UNSPECIFIED,4B0,8,ATTEMPTED MURDER/DEGREE UNSPECIFIED - 4B0,1
BATTERY ON PERSON,4B0,2,BATTERY ON PERSON - 4B0,1
BATTERY WITH SERIOUS BODILY INJURY (F),4B0,3,BATTERY WITH SERIOUS BODILY INJURY (F) - 4B0,1
BATTERY: SPOUSE/EX SPOUSE/DATE/ETC,4B0,4,BATTERY: SPOUSE/EX SPOUSE/DATE/ETC - 4B0,1
CAUSE GREAT BODILY HARM/DEATH OF ELDER/DEPENDENT ADULT,4B0,1,CAUSE GREAT BODILY HARM/DEATH OF ELDER/DEPENDENT ADULT - 4B0,1
CAUSE HARM/DEATH OF ELDER /DEPENDENT ADULT (F),4B0,6,CAUSE HARM/DEATH OF ELDER /DEPENDENT ADULT (F) - 4B0,1
EXHIBIT DEADLY WEAPON (OTHER THAN FIREARM),4B0,64,EXHIBIT DEADLY WEAPON (OTHER THAN FIREARM) - 4B0,1
EXHIBIT DEADLY WEAPON OTHER THAN FIREARM (M),4B0,436,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM (M) - 4B0,1
EXHIBIT DEADLY WEAPON/FIREARM,4B0,8,EXHIBIT DEADLY WEAPON/FIREARM - 4B0,1
EXHIBIT FIREARM (M),4B0,2,EXHIBIT FIREARM (M) - 4B0,1
EXHIBIT FIREARM/DEADLY WEAPON TO RESIST ARREST (F),4B0,9,EXHIBIT FIREARM/DEADLY WEAPON TO RESIST ARREST (F) - 4B0,1
EXHIBIT/DISPLAY DEADLY WEAPON TO RESIST ARREST,4B0,1,EXHIBIT/DISPLAY DEADLY WEAPON TO RESIST ARREST - 4B0,1
INFLICT CORPORAL INJURY ON SPOUSE/COHAB/GRLFRND W/PRIORS (F),4B0,2,INFLICT CORPORAL INJURY ON SPOUSE/COHAB/GRLFRND W/PRIORS (F) - 4B0,1
INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,4B0,25,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT - 4B0,1
MAYHEM,4B0,1,MAYHEM - 4B0,1
MAYHEM (F),4B0,5,MAYHEM (F) - 4B0,1
OBSTRUCT/RESIST EXECUTIVE OFFICER WITH SERIOUS INJURY (F),4B0,1,OBSTRUCT/RESIST EXECUTIVE OFFICER WITH SERIOUS INJURY (F) - 4B0,1
SPOUSAL/COHABITANT ABUSE WITH SERIOUS INJURY (F),4B0,14,SPOUSAL/COHABITANT ABUSE WITH SERIOUS INJURY (F) - 4B0,1
TERRORIST THREATS THAT THREATEN FAMILY,4B0,10,TERRORIST THREATS THAT THREATEN FAMILY - 4B0,1
THREATEN CRIME WITH INTENT TO TERRORIZE,4B0,34,THREATEN CRIME WITH INTENT TO TERRORIZE - 4B0,1
THROW SUBS AT VEH ON HWY W/GBI INTENT (F),4B0,3,THROW SUBS AT VEH ON HWY W/GBI INTENT (F) - 4B0,1
TORTURE (F),4B0,1,TORTURE (F) - 4B0,1
VIOLATE CIVIL RIGHTS BY FORCE OR THREAT,4B0,1,VIOLATE CIVIL RIGHTS BY FORCE OR THREAT - 4B0,1
VIOLATE CIVIL RIGHTS:CAUSE VIOLENT INJ (FELONY) (F),4B0,1,VIOLATE CIVIL RIGHTS:CAUSE VIOLENT INJ (FELONY) (F) - 4B0,1
ABUSE/CRUELTY TO ELDERLY/DEPENDENT ADULT,4C0,2,ABUSE/CRUELTY TO ELDERLY/DEPENDENT ADULT - 4C0,1
ADW NOT A FIREARM ON P.O./FIREFIGHTER:GBI LIKELY (F),4C0,33,ADW NOT A FIREARM ON P.O./FIREFIGHTER:GBI LIKELY (F) - 4C0,1
ADW ON PEACE OFFICER/FIREMAN/NOT GUN,4C0,7,ADW ON PEACE OFFICER/FIREMAN/NOT GUN - 4C0,1
ADW WITH FORCE:POSSIBLE GBI,4C0,8,ADW WITH FORCE:POSSIBLE GBI - 4C0,1
ADW WITH FORCE:POSSIBLE GBI (F),4C0,92,ADW WITH FORCE:POSSIBLE GBI (F) - 4C0,1
ADW WITH FORCE:POSSIBLE GBI (M),4C0,21,ADW WITH FORCE:POSSIBLE GBI (M) - 4C0,1
AGGRAVATED MAYHEM,4C0,1,AGGRAVATED MAYHEM - 4C0,1
ASSAULT,4C0,1,ASSAULT - 4C0,1
ASSAULT W/CAUSTIC CHEMICAL,4C0,6,ASSAULT W/CAUSTIC CHEMICAL - 4C0,1
ASSAULT W/DEADLY WEAPON OTHER THAN FIREARM OR GBI FORCE,4C0,216,ASSAULT W/DEADLY WEAPON OTHER THAN FIREARM OR GBI FORCE - 4C0,1
ASSAULT W/DEADLY WEAPON:NOT F/ARM (F),4C0,1218,ASSAULT W/DEADLY WEAPON:NOT F/ARM (F) - 4C0,1
ASSAULT W/DEADLY WEAPON:NOT F/ARM (M),4C0,559,ASSAULT W/DEADLY WEAPON:NOT F/ARM (M) - 4C0,1
ASSAULT W/INTENT TO COMMIT FELONY (W/INJ OR WEAPON) (F),4C0,1,ASSAULT W/INTENT TO COMMIT FELONY (W/INJ OR WEAPON) (F) - 4C0,1
ASSAULT W/INTENT TO COMMIT RAPE/OTH SEX ACTS DURING RES 459 (F),4C0,2,ASSAULT W/INTENT TO COMMIT RAPE/OTH SEX ACTS DURING RES 459 (F) - 4C0,1
ASSAULT WITH A DEADLY WEAPON OR BY FORCE,4C0,18,ASSAULT WITH A DEADLY WEAPON OR BY FORCE - 4C0,1
ASSAULT WITH CAUSTIC CHEMICAL (F),4C0,38,ASSAULT WITH CAUSTIC CHEMICAL (F) - 4C0,1
ASSAULT WITH STUN GUN OR LESS LETHAL WEAPON (M),4C0,10,ASSAULT WITH STUN GUN OR LESS LETHAL WEAPON (M) - 4C0,1
ASSAULT WITH STUN GUN/TASER,4C0,1,ASSAULT WITH STUN GUN/TASER - 4C0,1
ASSAULT WITH STUN GUN/TASER (F),4C0,6,ASSAULT WITH STUN GUN/TASER (F) - 4C0,1
ATTEMPTED MURDER,4C0,1,ATTEMPTED MURDER - 4C0,1
ATTEMPTED MURDER (F),4C0,19,ATTEMPTED MURDER (F) - 4C0,1
ATTEMPTED MURDER/DEGREE UNSPECIFIED,4C0,1,ATTEMPTED MURDER/DEGREE UNSPECIFIED - 4C0,1
BATTERY AGAINST EMERGENCY PERSON SERIOUS INJURY (F),4C0,1,BATTERY AGAINST EMERGENCY PERSON SERIOUS INJURY (F) - 4C0,1
BATTERY AGAINST POLICE OFFICER,4C0,1,BATTERY AGAINST POLICE OFFICER - 4C0,1
BATTERY OF ELDER OR DEPENDENT ADULT,4C0,2,BATTERY OF ELDER OR DEPENDENT ADULT - 4C0,1
BATTERY ON ANY PERSON ON PUBLIC TRANSPORTATION/PROPERTY,4C0,1,BATTERY ON ANY PERSON ON PUBLIC TRANSPORTATION/PROPERTY - 4C0,1
BATTERY ON NONCOHABITATING FORMER SPOUSE,4C0,1,BATTERY ON NONCOHABITATING FORMER SPOUSE - 4C0,1
BATTERY ON PEACE OFFICER/EMERGENCY PERSONNEL,4C0,3,BATTERY ON PEACE OFFICER/EMERGENCY PERSONNEL - 4C0,1
BATTERY ON PEACE OFFICER/EMERGENCY PERSONNEL/ETC W/INJURY,4C0,2,BATTERY ON PEACE OFFICER/EMERGENCY PERSONNEL/ETC W/INJURY - 4C0,1
BATTERY ON PERSON,4C0,20,BATTERY ON PERSON - 4C0,1
BATTERY ON PERSON (M),4C0,33,BATTERY ON PERSON (M) - 4C0,1
BATTERY ON PERSON ON SCHOOL/HOSPITAL/PARK PROPERTY,4C0,2,BATTERY ON PERSON ON SCHOOL/HOSPITAL/PARK PROPERTY - 4C0,1
BATTERY ON SCHOOL EMPLOYEE,4C0,1,BATTERY ON SCHOOL EMPLOYEE - 4C0,1
BATTERY W/SER BODILY INJURY (F),4C0,42,BATTERY W/SER BODILY INJURY (F) - 4C0,1
BATTERY W/SERIOUS BODILY INJURY,4C0,1,BATTERY W/SERIOUS BODILY INJURY - 4C0,1
BATTERY WITH SERIOUS BODILY INJURY (F),4C0,17,BATTERY WITH SERIOUS BODILY INJURY (F) - 4C0,1
BATTERY WITH SERIOUS BODILY INJURY (PUNISHMENT),4C0,1,BATTERY WITH SERIOUS BODILY INJURY (PUNISHMENT) - 4C0,1
BATTERY: SPOUSE/EX SPOUSE/DATE/ETC,4C0,20,BATTERY: SPOUSE/EX SPOUSE/DATE/ETC - 4C0,1
CAUSE GREAT BODILY HARM/DEATH OF ELDER/DEPENDENT ADULT,4C0,4,CAUSE GREAT BODILY HARM/DEATH OF ELDER/DEPENDENT ADULT - 4C0,1
CAUSE HARM/DEATH OF ELDER /DEPENDENT ADULT (F),4C0,26,CAUSE HARM/DEATH OF ELDER /DEPENDENT ADULT (F) - 4C0,1
DISCHARGE LASER AT OCCUPIED AIRCRAFT (F),4C0,6,DISCHARGE LASER AT OCCUPIED AIRCRAFT (F) - 4C0,1
EXHIBIT DEADLY WEAPON (OTHER THAN FIREARM),4C0,31,EXHIBIT DEADLY WEAPON (OTHER THAN FIREARM) - 4C0,1
EXHIBIT DEADLY WEAPON OTHER THAN FIREARM (M),4C0,180,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM (M) - 4C0,1
EXHIBIT DEADLY WEAPON/FIREARM,4C0,7,EXHIBIT DEADLY WEAPON/FIREARM - 4C0,1
EXHIBIT FIREARM,4C0,3,EXHIBIT FIREARM - 4C0,1
EXHIBIT FIREARM (M),4C0,2,EXHIBIT FIREARM (M) - 4C0,1
EXHIBIT FIREARM/DEADLY WEAPON TO RESIST ARREST (F),4C0,3,EXHIBIT FIREARM/DEADLY WEAPON TO RESIST ARREST (F) - 4C0,1
EXHIBIT/DISPLAY DEADLY WEAPON TO RESIST ARREST,4C0,1,EXHIBIT/DISPLAY DEADLY WEAPON TO RESIST ARREST - 4C0,1
FALSE BOMB REPORT,4C0,2,FALSE BOMB REPORT - 4C0,1
GIVE DRUGS TO AID IN FELONY (F),4C0,2,GIVE DRUGS TO AID IN FELONY (F) - 4C0,1
INDUCE FALSE TESTIMONY BY SERIOUS FORCE (F),4C0,1,INDUCE FALSE TESTIMONY BY SERIOUS FORCE (F) - 4C0,1
INFLICT CORPORAL INJURY ON SPOUSE/COHAB/GRLFRND W/PRIORS (F),4C0,9,INFLICT CORPORAL INJURY ON SPOUSE/COHAB/GRLFRND W/PRIORS (F) - 4C0,1
INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,4C0,38,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT - 4C0,1
INFLICT INJURY ON CHILD,4C0,1,INFLICT INJURY ON CHILD - 4C0,1
INFLICT SERIOUS INJ UPON A CHILD (F),4C0,1,INFLICT SERIOUS INJ UPON A CHILD (F) - 4C0,1
LEWD OR LASCIVIOUS ACTS W/CHILD UNDER 14 YEARS (F),4C0,118,LEWD OR LASCIVIOUS ACTS W/CHILD UNDER 14 YEARS (F) - 4C0,1
MAYHEM,4C0,1,MAYHEM - 4C0,1
MAYHEM (F),4C0,9,MAYHEM (F) - 4C0,1
OBSTRUCT/RESIST EXECUTIVE OFFICER,4C0,4,OBSTRUCT/RESIST EXECUTIVE OFFICER - 4C0,1
OBSTRUCT/RESIST EXECUTIVE OFFICER WITH SERIOUS INJURY (F),4C0,2,OBSTRUCT/RESIST EXECUTIVE OFFICER WITH SERIOUS INJURY (F) - 4C0,1
OBSTRUCT/RESIST PUB OFFICER,4C0,1,OBSTRUCT/RESIST PUB OFFICER - 4C0,1
OBSTRUCT/RESIST/DELAY PUBLIC PEACE OFFICE OR EM TECH.,4C0,1,OBSTRUCT/RESIST/DELAY PUBLIC PEACE OFFICE OR EM TECH. - 4C0,1
POSSESS/EXPLODE DESTRUCTIVE DEVICE W/ INTENT TO INJURE OR DESTROY (F),4C0,1,POSSESS/EXPLODE DESTRUCTIVE DEVICE W/ INTENT TO INJURE OR DESTROY (F) - 4C0,1
RESIST PEACE OFCR RSLT IN DEATH/INJ (F),4C0,5,RESIST PEACE OFCR RSLT IN DEATH/INJ (F) - 4C0,1
SEXUAL BATTERY,4C0,1,SEXUAL BATTERY - 4C0,1
SHOOT AT INHABITED DWELLING/VEH (F),4C0,18,SHOOT AT INHABITED DWELLING/VEH (F) - 4C0,1
SHOOT AT INHABITED DWELLING/VEHICLE/ETC,4C0,7,SHOOT AT INHABITED DWELLING/VEHICLE/ETC - 4C0,1
SPOUSAL/COHABITANT ABUSE WITH SERIOUS INJURY (F),4C0,102,SPOUSAL/COHABITANT ABUSE WITH SERIOUS INJURY (F) - 4C0,1
TERRORIST THREATS THAT THREATEN FAMILY,4C0,9,TERRORIST THREATS THAT THREATEN FAMILY - 4C0,1
THREATEN CRIME WITH INTENT TO TERRORIZE,4C0,55,THREATEN CRIME WITH INTENT TO TERRORIZE - 4C0,1
THROW SUBS AT VEH ON HWY W/GBI INTENT (F),4C0,27,THROW SUBS AT VEH ON HWY W/GBI INTENT (F) - 4C0,1
THROW SUBSTANCE AT VEHICLE WITH GBI INTENT,4C0,5,THROW SUBSTANCE AT VEHICLE WITH GBI INTENT - 4C0,1
TORTURE,4C0,1,TORTURE - 4C0,1
TORTURE (F),4C0,1,TORTURE (F) - 4C0,1
